City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saskylakh,71.9167,114.0833,-8.46,100,80,3.65,RU,1650905740
84,nikolskoye,59.7035,30.7861,41.72,96,100,4.76,RU,1650905740
85,nador,35.174,-2.9287,68.07,63,0,4.61,MA,1650905741
86,aksu,41.1231,80.2644,69.19,23,41,11.1,CN,1650905741
87,east london,-33.0153,27.9116,59.94,82,0,10.36,ZA,1650905443
88,nemuro,43.3236,145.575,39.56,73,44,10.51,JP,1650905743
89,khanapur,15.6333,74.5167,67.62,63,95,5.46,IN,1650905743
90,stepnyak,52.8339,70.7803,45.36,32,76,8.66,KZ,1650905744
91,mahebourg,-20.4081,57.7,77.29,65,40,13.8,MU,1650905709
92,timizart,36.8,4.2667,63.63,72,100,6.73,DZ,1650905744
93,tuktoyaktuk,69.4541,-133.0374,32.18,91,100,3.83,CA,1650905745
94,cidreira,-30.1811,-50.2056,75.79,65,95,12.84,BR,1650905745
95,san cristobal,7.7669,-72.225,71.78,50,100,6.71,VE,1650905747
96,tarakan,3.3,117.6333,76.5,94,40,5.75,ID,1650905747
97,clyde river,70.4692,-68.5914,8.83,85,100,21.85,CA,1650905557
98,shimoda,34.6667,138.95,64.11,88,95,1.21,JP,1650905748
99,souillac,-20.5167,57.5167,77.38,65,40,13.8,MU,1650905559
100,batagay-alyta,67.8006,130.4114,3.36,97,100,4.23,RU,1650905749
101,fortuna,40.5982,-124.1573,56.93,86,0,1.99,US,1650905749
102,margate,51.3813,1.3862,52.11,81,76,8.99,GB,1650905623
103,beaverlodge,55.2166,-119.4361,49.35,60,81,3.98,CA,1650905633
104,lalibela,12.0333,39.0333,62.74,64,72,5.91,ET,1650905750
105,kandi,11.1342,2.9386,102.83,10,95,3.0,BJ,1650905751
106,new norfolk,-42.7826,147.0587,52.72,83,73,2.39,AU,1650905695
107,sao filipe,14.8961,-24.4956,77.52,63,2,8.63,CV,1650905524
108,sarangani,5.4033,125.4636,83.62,74,100,13.62,PH,1650905751
109,san juan,-31.5375,-68.5364,80.44,20,0,6.44,AR,1650905752
110,bengkulu,-3.8004,102.2655,77.02,89,99,6.76,ID,1650905752
111,vaini,-21.2,-175.2,73.53,89,100,15.32,TO,1650905753
112,rio claro,-22.4114,-47.5614,85.39,56,0,4.27,BR,1650905753
113,faanui,-16.4833,-151.75,80.56,73,69,4.43,PF,1650905753
114,chapais,49.7834,-74.8492,38.98,95,100,12.17,CA,1650905754
115,tautira,-17.7333,-149.15,80.19,75,18,6.29,PF,1650905754
116,kununurra,-15.7667,128.7333,67.98,88,95,0.0,AU,1650905755
117,santa cruz,-17.8,-63.1667,87.85,62,75,26.46,BO,1650905607
118,asau,46.4333,26.4,56.95,66,41,5.32,RO,1650905755
119,fort nelson,58.8053,-122.7002,35.19,87,100,0.0,CA,1650905630
120,kholm,59.2667,32.85,44.58,96,100,4.45,RU,1650905756
121,acapulco,16.8634,-99.8901,85.64,53,4,6.89,MX,1650905546
122,beringovskiy,63.05,179.3167,26.02,96,100,19.64,RU,1650905756
123,tarsus,36.9188,34.8784,75.58,70,11,3.65,TR,1650905758
124,annau,37.8876,58.516,76.5,47,75,2.3,TM,1650905758
125,savinka,50.0785,47.0994,62.01,64,98,8.5,RU,1650905759
126,padang,-0.9492,100.3543,77.97,87,100,3.47,ID,1650905759
127,mecca,21.4267,39.8261,84.76,55,8,3.44,SA,1650905759
128,atuona,-9.8,-139.0333,78.76,73,29,15.77,PF,1650905760
129,hermanus,-34.4187,19.2345,60.8,71,0,6.13,ZA,1650905760
130,kushiro,42.975,144.3747,38.66,86,34,4.23,JP,1650905761
131,kupang,-10.1667,123.5833,75.65,80,53,5.39,ID,1650905761
132,vallenar,-28.5708,-70.7581,78.31,28,0,6.06,CL,1650905761
133,yulara,-25.2406,130.9889,62.44,67,22,5.75,AU,1650905762
134,presidente medici,-11.1753,-61.9014,86.99,64,14,4.54,BR,1650905762
135,puerto colombia,10.9878,-74.9547,86.09,68,76,7.25,CO,1650905763
136,bilibino,68.0546,166.4372,9.73,90,100,4.47,RU,1650905763
137,lavrentiya,65.5833,-171.0,15.94,89,77,6.71,RU,1650905764
138,sitka,57.0531,-135.33,42.69,87,20,0.0,US,1650905548
139,placido de castro,-10.3353,-67.1856,87.24,68,84,3.38,BR,1650905766
140,ribeira grande,38.5167,-28.7,64.8,59,20,13.8,PT,1650905766
141,palmer,42.1584,-72.3287,64.15,27,100,4.0,US,1650905767
142,la ronge,55.1001,-105.2842,25.05,46,0,10.36,CA,1650905768
143,birjand,32.8663,59.2211,79.27,12,40,13.8,IR,1650905768
